,Author,Quotes,Likes,Tags
0,Bob Marley,"“Only once in your life, I truly believe, you find someone who can completely turn your world around. You tell them things that you’ve never shared with another soul and they absorb everything you say and actually want to hear more. You share hopes for the future, dreams that will never come true, goals that were never achieved and the many disappointments life has thrown at you. When something wonderful happens, you can’t wait to tell them about it, knowing they will share in your excitement. They are not embarrassed to cry with you when you are hurting or laugh with you when you make a fool of yourself. Never do they hurt your feelings or make you feel like you are not good enough, but rather they build you up and show you the things about yourself that make you special and even beautiful. There is never any pressure, jealousy or competition but only a quiet calmness when they are around. You can be yourself and not worry about what they will think of you because they love you for who you are. The things that seem insignificant to most people such as a note, song or walk become invaluable treasures kept safe in your heart to cherish forever. Memories of your childhood come back and are so clear and vivid it’s like being young again. Colours seem brighter and more brilliant. Laughter seems part of daily life where before it was infrequent or didn’t exist at all. A phone call or two during the day helps to get you through a long day’s work and always brings a smile to your face. In their presence, there’s no need for continuous conversation, but you find you’re quite content in just having them nearby. Things that never interested you before become fascinating because you know they are important to this person who is so special to you. You think of this person on every occasion and in everything you do. Simple things bring them to mind like a pale blue sky, gentle wind or even a storm cloud on the horizon. You open your heart knowing that there’s a chance it may be broken one day and in opening your heart, you experience a love and joy that you never dreamed possible. You find that being vulnerable is the only way to allow your heart to feel true pleasure that’s so real it scares you. You find strength in knowing you have a true friend and possibly a soul mate who will remain loyal to the end. Life seems completely different, exciting and worthwhile. Your only hope and security is in knowing that they are a part of your life.”",56252,['love']
1,"J.R.R. Tolkien,","“All that is gold does not glitter,",55013,"['frost,', 'glitter,', 'gold,', 'lost,', 'poetry,', 'roots,', 'strength,', 'strong,', 'wander,', 'wither']"
2,"J.K. Rowling,","“It is our choices, Harry, that show what we truly are, far more than our abilities.”",50369,"['abilities,', 'choices']"
3,"Jane Austen,","“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”",49669,"['aliteracy,', 'books,', 'classic,', 'humor']"
4,Marilyn Monroe,"“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”",48905,"['attributed-no-source,', 'be-yourself,', 'inspirational']"
5,Albert Einstein,“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,48576,"['attributed-no-source,', 'inspirational,', 'life,', 'live,', 'miracle,', 'miracles']"
6,"J.K. Rowling,",“It does not do to dwell on dreams and forget to live.”,48104,"['dreams,', 'life']"
7,Mark Twain,"“Good friends, good books, and a sleepy conscience: this is the ideal life.”",45961,"['books,', 'contentment,', 'friends,', 'friendship,', 'life']"
8,"John Green,","“As he read, I fell in love the way you fall asleep: slowly, and then all at once.”",45787,['love']
9,"Oscar Wilde,","“We are all in the gutter, but some of us are looking at the stars.”",44479,"['inspirational,', 'optimism,', 'perception,', 'pessimism']"
10,"Neil Gaiman,","“Fairy tales are more than true: not because they tell us that dragons exist, but because they tell us that dragons can be beaten.”",44100,"['books,', 'dragons,', 'fairy-tales,', 'inspirational,', 'paraphrasing-g-k-chesterton']"
11,"William Shakespeare,","“The fool doth think he is wise, but the wise man knows himself to be a fool.”",43868,['wisdom']
12,"Maurice Switzer,","“It is better to remain silent at the risk of being thought a fool, than to talk and remove all doubt of it.”",43797,"['misattributed-to-abraham-lincoln,', 'misattributed-to-mark-twain,', 'remaining-silent,', 'wisdom']"
13,Mark Twain,"“Whenever you find yourself on the side of the majority, it is time to reform (or pause and reflect).”",43133,"['individuality,', 'majority,', 'minority,', 'pause,', 'reflect,', 'wisdom']"
14,Allen Saunders,“Life is what happens to us while we are making other plans.”,43017,"['fate,', 'life,', 'misattributed-john-lennon,', 'planning,', 'plans']"
15,Bill Keane,"“Yesterday is history, tomorrow is a mystery, today is a gift of God, which is why we call it the present.”",41779,"['attributed-no-source,', 'hope,', 'inspirational,', 'misattributed-eleanor-roosevelt,', 'past,', 'present,', 'widely-misattributed']"
16,Thomas A. Edison,"“I have not failed. I've just found 10,000 ways that won't work.”",41087,"['edison,', 'failure,', 'inspirational,', 'paraphrased']"
17,Friedrich Nietzsche,"“It is not a lack of love, but a lack of friendship that makes unhappy marriages.”",40545,"['friendship,', 'lack-of-friendship,', 'lack-of-love,', 'love,', 'marriage,', 'unhappy-marriage']"
18,Elie Wiesel,"“The opposite of love is not hate, it's indifference. The opposite of art is not ugliness, it's indifference. The opposite of faith is not heresy, it's indifference. And the opposite of life is not death, it's indifference.”",40510,"['activism,', 'apathy,', 'hate,', 'indifference,', 'inspirational,', 'love,', 'opposite,', 'philosophy']"
19,Eleanor Roosevelt,“A woman is like a tea bag; you never know how strong it is until it's in hot water.”,40233,"['attributed-no-source,', 'misattributed-eleanor-roosevelt']"
20,Mark Twain,“The man who does not read has no advantage over the man who cannot read.”,40007,"['aliteracy,', 'attributed-no-source,', 'literacy']"
21,Gordon A. Eadie,“If you don't stand for something you will fall for anything.”,38482,"['belief,', 'integrity,', 'misattributed-to-malcolm-x,', 'misattributed-to-rosa-parks']"
22,"douglas adams,","“I may not have gone where I intended to go, but I think I have ended up where I needed to be.”",38432,"['life,', 'navigation']"
23,"Pablo Neruda,","“I love you without knowing how, or when, or from where. I love you simply, without problems or pride: I love you in this way because I do not know any other way of loving but this, in which there is no I or you, so intimate that your hand upon my chest is my hand, so intimate that when I fall asleep your eyes close.”",38239,"['love,', 'poetry']"
24,"J.K. Rowling,",“I solemnly swear that I am up to no good.”,37718,['mischief']
25,"Groucho Marx,","“Outside of a dog, a book is man's best friend. Inside of a dog it's too dark to read.”",37420,"['animals,', 'books,', 'dogs,', 'friends,', 'humor']"
26,Albert Einstein,“I am enough of an artist to draw freely upon my imagination. Imagination is more important than knowledge. Knowledge is limited. Imagination encircles the world.”,36934,"['1929,', 'imagination,', 'inspirational,', 'viereck-interview']"
27,"William Shakespeare,","“Love all, trust a few, do wrong to none.”",36395,"['do-wrong,', 'love,', 'trust,', 'wrong']"
28,Dr. Seuss,"“I like nonsense, it wakes up the brain cells. Fantasy is a necessary ingredient in living.”",36200,['fantasy']
29,"Neil Gaiman,",“Have you ever been in love? Horrible isn't it? It makes you so vulnerable. It opens your chest and it opens up your heart and it means that someone can get inside you and mess you up.”,35739,['love']
0,Steve Martin,"“A day without sunshine is like, you know, night.”",34939,"['humor,', 'obvious,', 'simile']"
1,"George R.R. Martin,","“A reader lives a thousand lives before he dies, said Jojen. The man who never reads lives only one.”",34229,"['read,', 'readers,', 'reading,', 'reading-books']"
2,Mark Twain,“Never put off till tomorrow what may be done day after tomorrow just as well.”,34074,"['humor,', 'procrastination']"
3,"Kent M. Keith,",“,33840,"['forgiveness,', 'goodness,', 'happiness,', 'honesty,', 'kindness,', 'misattributed-to-mother-teresa,', 'world']"
4,"Dr. Seuss,",“You have brains in your head. You have feet in your shoes. You can steer yourself any direction you choose. You're on your own. And you know what you know. And YOU are the one who'll decide where to go...”,33532,['inspirational']
5,Lao Tzu,"“Being deeply loved by someone gives you strength, while loving someone deeply gives you courage.”",33403,"['courage,', 'deeply-loved,', 'love,', 'strength,', 'widely-misattributed']"
6,Friedrich Nietzsche,“That which does not kill us makes us stronger.”,33340,"['paraphrased,', 'strength']"
7,George Eliot,“It is never too late to be what you might have been.”,32738,"['inspirational,', 'source-unknown']"
8,Ralph Waldo Emerson,“For every minute you are angry you lose sixty seconds of happiness.”,32270,['happiness']
9,"J.K. Rowling,","“It takes a great deal of bravery to stand up to our enemies, but just as much to stand up to our friends.”",32021,"['albus-dumbledore,', 'courage,', 'friends']"
10,Marilyn Monroe,"“This life is what you make it. No matter what, you're going to mess up sometimes, it's a universal truth. But the good part is you get to decide how you're going to mess it up. Girls will be your friends - they'll act like it anyway. But just remember, some come, some go. The ones that stay with you through everything - they're your true best friends. Don't let go of them. Also remember, sisters make the best friends in the world. As for lovers, well, they'll come and go too. And baby, I hate to say it, most of them - actually pretty much all of them are going to break your heart, but you can't give up because if you give up, you'll never find your soulmate. You'll never find that half who makes you whole and that goes for everything. Just because you fail once, doesn't mean you're gonna fail at everything. Keep trying, hold on, and always, always, always believe in yourself, because if you don't, then who will, sweetie? So keep your head high, keep your chin up, and most importantly, keep smiling, because life's a beautiful thing and there's so much to smile about.”",31808,"['attributed-no-source,', 'friends,', 'heartbreak,', 'inspirational,', 'life,', 'love,', 'sisters']"
11,"Douglas Adams,",“I love deadlines. I love the whooshing noise they make as they go by.”,31642,"['deadlines,', 'humor,', 'humour,', 'work,', 'writing']"
12,Mother Teresa,"“If you judge people, you have no time to love them.”",31154,['attributed-no-source']
13,"Sarah Dessen,","“There is never a time or place for true love. It happens accidentally, in a heartbeat, in a single flashing, throbbing moment.”",30960,['love']
14,Albert Einstein,"“If you can't explain it to a six year old, you don't understand it yourself.”",30421,"['attributed-no-source,', 'simplicity,', 'understand']"
15,Friedrich Nietzsche,"“I'm not upset that you lied to me, I'm upset that from now on I can't believe you.”",30310,"['lies,', 'lying,', 'trust']"
16,"Maya Angelou,",“There is no greater agony than bearing an untold story inside you.”,30225,"['1970,', 'inspirational,', 'stories,', 'writing']"
17,"Robert A. Heinlein,",“Love is that condition in which the happiness of another person is essential to your own.”,30045,"['essential,', 'happiness,', 'love']"
18,Garrison Keillor,“Anyone who thinks sitting in church can make you a Christian must also think that sitting in a garage can make you a car.”,29597,"['humor,', 'religion']"
19,"Haruki Murakami,","“If you only read the books that everyone else is reading, you can only think what everyone else is thinking.”",29571,"['books,', 'thought']"
20,Jorge Luis Borges,“I have always imagined that Paradise will be a kind of library.”,29272,"['books,', 'library']"
21,Pablo Picasso,“Everything you can imagine is real.”,29041,"['art,', 'imagination,', 'inspirational,', 'life']"
22,Robert A. Heinlein,"“Women and cats will do as they please, and men and dogs should relax and get used to the idea.”",28365,"['cats,', 'humor,', 'women']"
23,Anaïs Nin,"“We don't see things as they are, we see them as we are.”",27973,
24,Bob Marley,"“You may not be her first, her last, or her only. She loved before she may love again. But if she loves you now, what else matters? She's not perfect—you aren't either, and the two of you may never be perfect together but if she can make you laugh, cause you to think twice, and admit to being human and making mistakes, hold onto her and give her the most you can. She may not be thinking about you every second of the day, but she will give you a part of her that she knows you can break—her heart. So don't hurt her, don't change her, don't analyze and don't expect more than she can give. Smile when she makes you happy, let her know when she makes you mad, and miss her when she's not there.”",27653,['love']
25,Dr. Seuss,“Sometimes the questions are complicated and the answers are simple.”,27647,"['attributed-no-source,', 'life']"
26,"Lemony Snicket,",“Never trust anyone who has not brought a book with them.”,27243,"['books,', 'reading']"
27,"Suzanne Collins,","“You love me. Real or not real?""",27145,"['katniss,', 'love,', 'peeta,', 'suzanne-collins,', 'the-hunger-games']"
28,C.S. Lewis,“You can never get a cup of tea large enough or a book long enough to suit me.”,27139,"['books,', 'inspirational,', 'reading,', 'tea']"
29,"William Nicholson,",“We read to know we're not alone.”,26821,"['misattributed-to-c-s-lewis,', 'reading']"
0,"John Green,","“Sometimes, you read a book and it fills you with this weird evangelical zeal, and you become convinced that the shattered world will never be put back together unless and until all living humans read the book.”",26662,"['books,', 'power-of-words,', 'reading']"
1,Charles M. Schulz,“All you need is love. But a little chocolate now and then doesn't hurt.”,26504,"['chocolate,', 'food,', 'humor']"
2,"J.K. Rowling,","“Of course it is happening inside your head, Harry, but why on earth should that mean that it is not real?”",26206,['dumbledore']
3,Jim Henson,“Beauty is in the eye of the beholder and it may be necessary from time to time to give a stupid or misinformed beholder a black eye.”,26158,['humor']
4,George Bernard Shaw,“Life isn't about finding yourself. Life is about creating yourself.”,25800,"['inspirational,', 'life,', 'yourself']"
5,"Dr. Seuss,","“Today you are You, that is truer than true. There is no one alive who is Youer than You.”",25563,"['comedy,', 'life,', 'yourself']"
6,J.K. Rowling,"“It is impossible to live without failing at something, unless you live so cautiously that you might as well not have lived at all—in which case, you fail by default.”",25421,
7,"J.K. Rowling,","“To the well-organized mind, death is but the next great adventure.”",25225,"['death,', 'dumbledore,', 'harry,', 'inspirational,', 'philosophers-stone,', 'ron,', 'sorcerers-stone']"
8,Woody Allen,“I'm not afraid of death; I just don't want to be there when it happens.”,25187,"['death,', 'fear,', 'humor,', 'life']"
9,Oscar Wilde,"“If one cannot enjoy reading a book over and over again, there is no use in reading it at all.”",25043,"['books,', 'reading']"
10,Albert Einstein,"“If you want your children to be intelligent, read them fairy tales. If you want them to be more intelligent, read them more fairy tales.”",24880,"['attributed-no-source,', 'children,', 'fairy-tales']"
11,"Cassandra Clare,",“Have you fallen in love with the wrong person yet?',24422,"['city-of-bones,', 'jace']"
12,Albert Einstein,“Logic will get you from A to Z; imagination will get you everywhere.”,24313,"['attributed-no-source,', 'imagination']"
13,"John Green,","“I'm in love with you,"" he said quietly.",24292,"['doomed,', 'inevitable,', 'love,', 'oblivion,', 'pleasure,', 'simple']"
14,Paul   Terry,"“Whenever I feel the need to exercise, I lie down until it goes away.”",24186,"['exercise,', 'humor,', 'laziness,', 'misattributed-to-hutchins']"
15,"Nicholas Sparks,","“I am nothing special, of this I am sure. I am a common man with common thoughts and I've led a common life. There are no monuments dedicated to me and my name will soon be forgotten, but I've loved another with all my heart and soul, and to me, this has always been enough..”",24051,['love']
16,"Markus Zusak,",“Sometimes people are beautiful.,23950,"['beauty,', 'life']"
17,"John Green,",“You don't get to choose if you get hurt in this world...but you do have some say in who hurts you. I like my choices.”,23792,"['satisfaction,', 'self-determination']"
18,Bob Marley,"“The truth is, everyone is going to hurt you. You just got to find the ones worth suffering for.”",23687,['friendship']
19,"William Shakespeare,","“Love looks not with the eyes, but with the mind,",23632,['love']
20,"Dr. Seuss,","“The more that you read, the more things you will know. The more that you learn, the more places you'll go.”",23618,"['learning,', 'reading,', 'seuss']"
21,Abraham Lincoln,“Folks are usually about as happy as they make their minds up to be.”,23511,"['attributed-no-source,', 'happiness']"
22,Theodore Roosevelt,"“Do what you can, with what you have, where you are.”",23356,['inspirational']
23,Ernest Hemingway,“There is no friend as loyal as a book.”,23156,"['books,', 'friends,', 'novelist-quotes']"
24,Bob Marley,"“One good thing about music, when it hits you, you feel no pain.”",23013,['music']
25,Groucho Marx,"“I find television very educating. Every time somebody turns on the set, I go into the other room and read a book.”",22803,"['books,', 'humor,', 'reading,', 'television']"
26,"Douglas Adams,",“The story so far:,22751,"['humor,', 'scifi']"
27,Mother Teresa,“Not all of us can do great things. But we can do small things with great love.”,22589,"['misattributed-to-mother-teresa,', 'paraphrased']"
28,Winston S. Churchill,"“Success is not final, failure is not fatal: it is the courage to continue that counts.”",22578,"['bravery,', 'courage,', 'failure,', 'inspirational,', 'success']"
29,"Nicholas Sparks,","“Love is like the wind, you can't see it but you can feel it.”",22457,"['love,', 'simile']"
0,Shel Silverstein,"“Listen to the mustn'ts, child. Listen to the don'ts. Listen to the shouldn'ts, the impossibles, the won'ts. Listen to the never haves, then listen close to me... Anything can happen, child. Anything can be.”",22366,"['anything-can-be,', 'hope,', 'impossible,', 'inspirational,', 'musn-t,', 'possibilities,', 'shouldn-t,', 'won-t']"
1,Helen Keller,"“When one door of happiness closes, another opens; but often we look so long at the closed door that we do not see the one which has been opened for us.”",22362,['inspirational']
2,"Joan Powers,","“If you live to be a hundred, I want to live to be a hundred minus one day so I never have to live without you.”",22217,"['friendship,', 'misattributed-a-a-milne']"
3,"Stephen Chbosky,","“So, this is my life. And I want you to know that I am both happy and sad and I'm still trying to figure out how that could be.”",22024,"['charlie,', 'favourite-books,', 'inspirational,', 'sad,', 'soul-searching,', 'wallflower']"
4,"Elizabeth Gilbert,","“People think a soul mate is your perfect fit, and that's what everyone wants. But a true soul mate is a mirror, the person who shows you everything that is holding you back, the person who brings you to your own attention so you can change your life.",21872,['love']
5,John Green,"“Saying 'I notice you're a nerd' is like saying, 'Hey, I notice that you'd rather be intelligent than be stupid, that you'd rather be thoughtful than be vapid, that you believe that there are things that matter more than the arrest record of Lindsay Lohan. Why is that?' In fact, it seems to me that most contemporary insults are pretty lame. Even 'lame' is kind of lame. Saying 'You're lame' is like saying 'You walk with a limp.' Yeah, whatever, so does 50 Cent, and he's done all right for himself.”",21847,"['humor,', 'nerdfighters']"
6,"Jane Austen,","“There is nothing I would not do for those who are really my friends. I have no notion of loving people by halves, it is not my nature.”",21842,"['friendship,', 'love']"
7,Albert Einstein,"“Life is like riding a bicycle. To keep your balance, you must keep moving.”",21830,"['life,', 'simile']"
8,"J.K. Rowling,","“It matters not what someone is born, but what they grow to be.”",21797,['dumbledore']
9,"Jodi Picoult,","“You don't love someone because they're perfect, you love them in spite of the fact that they're not.”",21737,"['imperfect,', 'love']"
10,Charles Bukowski,“Some people never go crazy. What truly horrible lives they must lead.”,21672,['humor']
11,Alexandre Dumas-fils,“The difference between genius and stupidity is: genius has its limits.”,21449,['misattributed-to-einstein']
12,Anais Nin,"“Love never dies a natural death. It dies because we don't know how to replenish its source. It dies of blindness and errors and betrayals. It dies of illness and wounds; it dies of weariness, of witherings, of tarnishings.”",21399,"['death,', 'love']"
13,"J.D. Salinger,","“What really knocks me out is a book that, when you're all done reading it, you wish the author that wrote it was a terrific friend of yours and you could call him up on the phone whenever you felt like it. That doesn't happen much, though.”",21374,"['authors,', 'books,', 'literature,', 'reading,', 'writing']"
14,Marilyn Monroe,"“If you can make a woman laugh, you can make her do anything.”",21295,"['attributed-no-source,', 'girls,', 'love']"
15,"Robert Fulghum,","“We’re all a little weird. And life is a little weird. And when we find someone whose weirdness is compatible with ours, we join up with them and fall into mutually satisfying weirdness—and call it love—true love.”",21273,"['love,', 'weirdness']"
16,"Walter M. Miller Jr.,",“You don’t,21231,"['body-soul,', 'misattributed-to-c-s-lewis']"
17,"Virginia Woolf,","“I would venture to guess that Anon, who wrote so many poems without signing them, was often a woman.”",21066,['women']
18,"John Green,",“Some infinities are bigger than other infinities.”,21055,"['infinity,', 'john-green,', 'life,', 'tfios,', 'the-fault-in-our-stars']"
19,Eleanor Roosevelt,“Do one thing every day that scares you.”,21009,"['attributed,', 'fear,', 'inspiration']"
20,Oscar Wilde,“It is what you read when you don't have to that determines what you will be when you can't help it.”,20977,"['books,', 'reading']"
21,"Terry Pratchett,","“The trouble with having an open mind, of course, is that people will insist on coming along and trying to put things in it.”",20913,"['humor,', 'open-mind,', 'thinking']"
22,"Cassandra Clare,","“One must always be careful of books,"" said Tessa, ""and what is inside them, for words have the power to change us.”",20814,['books']
23,Alfred Tennyson,“If I had a flower for every time I thought of you...I could walk through my garden forever.”,20797,"['friendship,', 'love']"
24,"J.R.R. Tolkien,",“Not all those who wander are lost.”,20778,"['bilbo,', 'journey,', 'lost,', 'quest,', 'travel,', 'wander']"
25,"Marthe Troly-Curtin,",“Time you enjoy wasting is not wasted time.”,20595,"['happiness,', 'misattributed-john-lennon,', 'procrastination,', 'time']"
26,"Bill Watterson,",“Reality continues to ruin my life.”,20549,"['calvin-and-hobbes,', 'humor,', 'life']"
27,"Stephen Chbosky,",“Things change. And friends leave. Life doesn't stop for anybody.”,20344,"['change,', 'life']"
28,"Cassandra Clare,","“There is no pretending,"" Jace said with absolute clarity. ""I love you, and I will love you until I die, and if there is life after that, I'll love you then.”",20310,"['mortal-instruments,', 'romance,', 'teen-fantasy']"
29,Bob Marley,“Who are you to judge the life I live?,20112,"['judge,', 'life,', 'live,', 'perfection']"
0,Marilyn Monroe,“The real lover is the man who can thrill you by kissing your forehead or smiling into your eyes or just staring into space.”,20000,"['attributed-no-source,', 'love']"
1,Toni Morrison,"“If there's a book that you want to read, but it hasn't been written yet, then you must write it.”",19863,"['books,', 'writing']"
2,"C.S. Lewis,","“To love at all is to be vulnerable. Love anything and your heart will be wrung and possibly broken. If you want to make sure of keeping it intact you must give it to no one, not even an animal. Wrap it carefully round with hobbies and little luxuries; avoid all entanglements. Lock it up safe in the casket or coffin of your selfishness. But in that casket, safe, dark, motionless, airless, it will change. It will not be broken; it will become unbreakable, impenetrable, irredeemable. To love is to be vulnerable.”",19689,['love']
3,"John Green,",“The only way out of the labyrinth of suffering is to forgive.”,19663,"['compassion,', 'life,', 'suffering']"
4,"A.A. Milne,",“Piglet sidled up to Pooh from behind.,19630,"['friendship,', 'piglet,', 'pooh,', 'reassurance']"
5,"Stephenie Meyer,","“He's like a drug for you, Bella.”",19586,"['drug,', 'romance,', 'simile']"
6,"J.K. Rowling,","“Do not pity the dead, Harry. Pity the living, and, above all those who live without love.”",19486,['live-death-love']
7,George Carlin,“The reason I talk to myself is because I’m the only one whose answers I accept.”,19407,"['humor,', 'insanity,', 'lies,', 'lying,', 'self-indulgence,', 'truth']"
8,"J.R.R. Tolkien,","“I wish it need not have happened in my time,"" said Frodo.",19399,"['adventuring,', 'death,', 'time']"
9,Marilyn Monroe,"“A wise girl kisses but doesn't love, listens but doesn't believe, and leaves before she is left.”",19327,['attributed-no-source']
10,Benjamin Franklin Wade,“Go to heaven for the climate and hell for the company.”,19315,"['humor,', 'misattributed-mark-twain,', 'philosophy,', 'theology']"
11,"Jess C. Scott,","“When someone loves you, the way they talk about you is different. You feel safe and comfortable.”",19312,"['desire,', 'emotion,', 'friendship,', 'honesty,', 'imagination,', 'individuality,', 'life,', 'love,', 'passion,', 'reality,', 'relationships,', 'romance,', 'truth,', 'wisdom,', 'wise-words']"
12,"J.K. Rowling,","“Dumbledore watched her fly away, and as her silvery glow faded he turned back to Snape, and his eyes were full of tears.",19224,"['dumbledore,', 'life,', 'love,', 'snape']"
13,"Jane Austen,","“I declare after all there is no enjoyment like reading! How much sooner one tires of any thing than of a book! -- When I have a house of my own, I shall be miserable if I have not an excellent library.”",19163,"['books,', 'library,', 'reading']"
14,Ernest Hemingway,“There is nothing to writing. All you do is sit down at a typewriter and bleed.”,19067,"['good,', 'writing']"
15,"Paulo Coelho,","“And, when you want something, all the universe conspires in helping you to achieve it.”",19039,['inspirational']
16,Rosemarie Urquico,“You should date a girl who reads.,18987,
17,Marilyn Monroe,"“I am good, but not an angel. I do sin, but I am not the devil. I am just a small girl in a big world trying to find someone to love.”",18758,['attributed-no-source']
18,John Lennon,"“You may say I'm a dreamer, but I'm not the only one. I hope someday you'll join us. And the world will live as one.”",18639,"['beatles,', 'connection,', 'dreamers,', 'dreaming,', 'dreams,', 'hope,', 'inspirational,', 'peace']"
19,"Bessie Anderson Stanley,","“He has achieved success who has lived well, laughed often, and loved much;",18623,"['life,', 'misattributed-to-emerson,', 'success,', 'widely-misattributed']"
20,Mark Twain,“′Classic′ - a book which people praise and don't read.”,18552,"['books,', 'classic,', 'reading']"
